id,name,category,amount,status,note
1,Bima,alpha,7546.24,ok,"batch 1"
2,Citra,alpha,9712.00,ok,"batch 2"
3,Bima,alpha,3637.12,ok,"batch 3"
4,Eka,alpha,5966.08,ok,"batch 4"
5,Eka,alpha,7704.96,ok,"batch 5"
6,Eka,alpha,9014.40,ok,"batch 6"
7,Bima,alpha,4721.28,ok,"batch 7"
8,Eka,alpha,8024.32,ok,"batch 8"
9,Ada,alpha,6396.16,ok,"batch 9"
10,Citra,alpha,9244.16,ok,"batch 10"
11,Ada,alpha,4082.56,ok,"batch 11"
12,Eka,alpha,9399.04,ok,"batch 12"
13,Bima,alpha,7282.56,ok,"batch 13"
14,Eka,alpha,2760.96,ok,"batch 14"
15,Bima,alpha,9268.48,ok,"batch 15"
16,Ada,alpha,3599.36,ok,"batch 16"
17,Citra,alpha,2295.04,ok,"needs, review"
18,Ada,alpha,7743.36,ok,"batch 18"
19,Danu,alpha,7503.36,ok,"batch 19"
20,Eka,alpha,9827.84,ok,"batch 20"
21,Eka,alpha,7176.32,ok,"batch 21"
22,Bima,alpha,7823.36,ok,"batch 22"
23,Ada,alpha,6169.60,ok,"batch 23"
24,Danu,alpha,9867.52,ok,"batch 24"
25,Bima,alpha,6039.68,ok,"batch 25"
26,Ada,alpha,9864.32,ok,"batch 26"
27,Citra,alpha,9284.48,ok,"batch 27"
28,Danu,alpha,2400.64,ok,"batch 28"
29,Danu,alpha,2367.36,ok,"quote ""check"""
30,Eka,alpha,6777.60,ok,"batch 30"
31,Danu,alpha,5283.20,ok,"normal cleanup"
32,Danu,alpha,7792.00,ok,"batch 32"
33,Ada,alpha,3584.00,ok,"batch 33"
34,Ada,alpha,7483.52,ok,"needs, review"
35,Danu,alpha,4192.00,ok,"batch 35"
36,Eka,alpha,7911.04,ok,"batch 36"
37,Danu,alpha,8.32,ok,"batch 37"
38,Citra,alpha,8468.48,ok,"batch 38"
39,Citra,alpha,4193.28,ok,"batch 39"
40,Citra,alpha,4217.60,ok,"batch 40"
41,Citra,alpha,2337.92,ok,"batch 41"
42,Bima,alpha,4055.68,ok,"batch 42"
43,Danu,alpha,8920.32,ok,"batch 43"
44,Citra,alpha,1603.84,ok,"batch 44"
45,Eka,alpha,3886.08,ok,"batch 45"
46,Ada,alpha,4816.64,ok,"batch 46"
47,Bima,alpha,1811.20,ok,"batch 47"
48,Bima,alpha,5498.24,ok,"batch 48"
49,Ada,alpha,6041.52,ok,"batch 49"
50,Eka,alpha,428.80,ok,"batch 50"
51,Citra,alpha,9198.08,ok,"needs, review"
52,Ada,alpha,4026.24,ok,"batch 52"
53,Eka,alpha,255.36,ok,"batch 53"
54,Eka,alpha,9554.56,ok,"batch 54"
55,Eka,alpha,3110.40,ok,"batch 55"
56,Ada,alpha,1160.32,ok,"batch 56"
57,Bima,alpha,8326.40,ok,"batch 57"
58,Eka,alpha,8008.96,ok,"quote ""check"""
59,Bima,alpha,3091.20,ok,"batch 59"
